ko, ko, , , Korean, Korean, , , 
yy. M. d, yyyy. M. d, yyyy'년' M'월' d'일' '('EE')'
a h:mm, a h:mm:ss, a h'시' mm'분' ss'초'
#,##0, #,##0.###, #,##0%, ¤ #,##0.00

ms-MY, ms, MY, , 말레이어 (말레이지아), 말레이어, 말레이지아, 
ar-QA, ar, QA, , 아랍어 (카타르), 아랍어, 카타르, 
is-IS, is, IS, , 아이슬란드어 (아이슬란드), 아이슬란드어, 아이슬란드, 
fi-FI, fi, FI, , 핀란드어 (핀란드), 핀란드어, 핀란드, 
pl, pl, , , 폴란드어, 폴란드어, , 
en-MT, en, MT, , 영어 (몰타), 영어, 몰타, 
it-CH, it, CH, , 이탈리아어 (스위스), 이탈리아어, 스위스, 
nl-BE, nl, BE, , 네덜란드어 (벨기에), 네덜란드어, 벨기에, 
ar-SA, ar, SA, , 아랍어 (사우디아라비아), 아랍어, 사우디아라비아, 
ar-IQ, ar, IQ, , 아랍어 (이라크), 아랍어, 이라크, 
es-PR, es, PR, , 스페인어 (푸에르토리코), 스페인어, 푸에르토리코, 
es-CL, es, CL, , 스페인어 (칠레), 스페인어, 칠레, 
fi, fi, , , 핀란드어, 핀란드어, , 
de-AT, de, AT, , 독일어 (오스트리아), 독일어, 오스트리아, 
da, da, , , 덴마크어, 덴마크어, , 
en-GB, en, GB, , 영어 (영국), 영어, 영국, 
es-PA, es, PA, , 스페인어 (파나마), 스페인어, 파나마, 
sr, sr, , , 세르비아어, 세르비아어, , 
ar-YE, ar, YE, , 아랍어 (예멘), 아랍어, 예멘, 
mk-MK, mk, MK, , 마케도니아어 (마케도니아어), 마케도니아어, 마케도니아어, 
mk, mk, , , 마케도니아어, 마케도니아어, , 
en-CA, en, CA, , 영어 (캐나다), 영어, 캐나다, 
vi-VN, vi, VN, , 베트남어 (베트남), 베트남어, 베트남, 
nl-NL, nl, NL, , 네덜란드어 (네덜란드), 네덜란드어, 네덜란드, 
es-US, es, US, , 스페인어 (미국), 스페인어, 미국, 
zh-CN, zh, CN, , 중국어 (중국), 중국어, 중국, 
es-HN, es, HN, , 스페인어 (온두라스), 스페인어, 온두라스, 
en-US, en, US, , 영어 (미국), 영어, 미국, 
fr, fr, , , 프랑스어, 프랑스어, , 
th, th, , , 태국어, 태국어, , 
ar, ar, , , 아랍어, 아랍어, , 
ar-MA, ar, MA, , 아랍어 (모로코), 아랍어, 모로코, 
lv, lv, , , 라트비아어(레트어), 라트비아어(레트어), , 
de, de, , , 독일어, 독일어, , 
id-ID, in, ID, , 인도네시아어 (인도네시아), 인도네시아어, 인도네시아, 
hr, hr, , , 크로아티아어, 크로아티아어, , 
en-ZA, en, ZA, , 영어 (남아프리카), 영어, 남아프리카, 
ko-KR, ko, KR, , 한국어 (대한민국), 한국어, 대한민국, 
ar-TN, ar, TN, , 아랍어 (튀니지), 아랍어, 튀니지, 
id, in, , , 인도네시아어, 인도네시아어, , 
ja, ja, , , 일본어, 일본어, , 
sr-RS, sr, RS, , 세르비아어 (세르비아), 세르비아어, 세르비아, 
be-BY, be, BY, , 벨로루시어 (벨라루스), 벨로루시어, 벨라루스, 
zh-TW, zh, TW, , 중국어 (대만), 중국어, 대만, 
ar-SD, ar, SD, , 아랍어 (수단), 아랍어, 수단, 
pt, pt, , , 포르투칼어, 포르투칼어, , 
is, is, , , 아이슬란드어, 아이슬란드어, , 
ja-JP-u-ca-japanese-x-lvariant-JP, ja, JP, JP, 일본어 (일본,JP), 일본어, 일본, JP
es-BO, es, BO, , 스페인어 (볼리비아), 스페인어, 볼리비아, 
ar-DZ, ar, DZ, , 아랍어 (알제리), 아랍어, 알제리, 
ms, ms, , , 말레이어, 말레이어, , 
es-AR, es, AR, , 스페인어 (아르헨티나), 스페인어, 아르헨티나, 
ar-AE, ar, AE, , 아랍어 (아랍에미리트), 아랍어, 아랍에미리트, 
fr-CA, fr, CA, , 프랑스어 (캐나다), 프랑스어, 캐나다, 
sl, sl, , , 슬로베니아어, 슬로베니아어, , 
es, es, , , 스페인어, 스페인어, , 
lt-LT, lt, LT, , 리투아니아어 (리투아니아), 리투아니아어, 리투아니아, 
