zh-TW | zh | TW |  | Chinese (Taiwan) | Chinese | Taiwan |  | TWD
上午 | 下午
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
yyyy/M/d | yyyy/M/d | yyyy'年'M'月'd'日'
a h:mm | a hh:mm:ss | ahh'時'mm'分'ss'秒'
#,##0 | #,##0.### | #,##0% | ¤#,##0.00

und |  |  |  |  |  |  | 
ar-AE | ar | AE |  | 阿拉伯文 (阿拉伯聯合大公國) | 阿拉伯文 | 阿拉伯聯合大公國 | 
ar-JO | ar | JO |  | 阿拉伯文 (約旦) | 阿拉伯文 | 約旦 | 
ar-SY | ar | SY |  | 阿拉伯文 (敘利亞) | 阿拉伯文 | 敘利亞 | 
hr-HR | hr | HR |  | 克羅埃西亞文 (克羅埃西亞) | 克羅埃西亞文 | 克羅埃西亞 | 
fr-BE | fr | BE |  | 法文 (比利時) | 法文 | 比利時 | 
es-PA | es | PA |  | 西班牙文 (巴拿馬) | 西班牙文 | 巴拿馬 | 
mt-MT | mt | MT |  | 馬爾他文 (馬爾他) | 馬爾他文 | 馬爾他 | 
es-VE | es | VE |  | 西班牙文 (委內瑞拉) | 西班牙文 | 委內瑞拉 | 
bg | bg |  |  | 保加利亞文 | 保加利亞文 |  | 
zh-TW | zh | TW |  | 中文 (台灣) | 中文 | 台灣 | 
it | it |  |  | 義大利文 | 義大利文 |  | 
ko | ko |  |  | 韓文 | 韓文 |  | 
uk | uk |  |  | 烏克蘭文 | 烏克蘭文 |  | 
lv | lv |  |  | 拉脫維亞文 (列特文) | 拉脫維亞文 (列特文) |  | 
da-DK | da | DK |  | 丹麥文 (丹麥) | 丹麥文 | 丹麥 | 
es-PR | es | PR |  | 西班牙文 (波多黎各) | 西班牙文 | 波多黎各 | 
vi-VN | vi | VN |  | 越南文 (越南) | 越南文 | 越南 | 
en-US | en | US |  | 英文 (美國) | 英文 | 美國 | 
sr-ME | sr | ME |  | 塞爾維亞文 (蒙特尼格羅) | 塞爾維亞文 | 蒙特尼格羅 | 
sv-SE | sv | SE |  | 瑞典文 (瑞典) | 瑞典文 | 瑞典 | 
es-BO | es | BO |  | 西班牙文 (玻利維亞) | 西班牙文 | 玻利維亞 | 
en-SG | en | SG |  | 英文 (新加坡) | 英文 | 新加坡 | 
ar-BH | ar | BH |  | 阿拉伯文 (巴林) | 阿拉伯文 | 巴林 | 
pt | pt |  |  | 葡萄牙文 | 葡萄牙文 |  | 
ar-SA | ar | SA |  | 阿拉伯文 (沙烏地阿拉伯) | 阿拉伯文 | 沙烏地阿拉伯 | 
sk | sk |  |  | 斯洛伐克文 | 斯洛伐克文 |  | 
ar-YE | ar | YE |  | 阿拉伯文 (葉門) | 阿拉伯文 | 葉門 | 
hi-IN | hi | IN |  | 北印度文 (印度) | 北印度文 | 印度 | 
ga | ga |  |  | 愛爾蘭文 | 愛爾蘭文 |  | 
en-MT | en | MT |  | 英文 (馬爾他) | 英文 | 馬爾他 | 
fi-FI | fi | FI |  | 芬蘭文 (芬蘭) | 芬蘭文 | 芬蘭 | 
et | et |  |  | 愛沙尼亞文 | 愛沙尼亞文 |  | 
sv | sv |  |  | 瑞典文 | 瑞典文 |  | 
cs | cs |  |  | 捷克文 | 捷克文 |  | 
sr-Latn-BA | sr | BA |  | 塞爾維亞文 (拉丁文,波士尼亞赫塞哥維納) | 塞爾維亞文 | 波士尼亞赫塞哥維納 | 
el | el |  |  | 希臘文 | 希臘文 |  | 
uk-UA | uk | UA |  | 烏克蘭文 (烏克蘭) | 烏克蘭文 | 烏克蘭 | 
hu | hu |  |  | 匈牙利文 | 匈牙利文 |  | 
fr-CH | fr | CH |  | 法文 (瑞士) | 法文 | 瑞士 | 
id | in |  |  | 印尼文 | 印尼文 |  | 
es-AR | es | AR |  | 西班牙文 (阿根廷) | 西班牙文 | 阿根廷 | 
ar-EG | ar | EG |  | 阿拉伯文 (埃及) | 阿拉伯文 | 埃及 | 
ja-JP-u-ca-japanese-x-lvariant-JP | ja | JP | JP | 日文 (日本,JP) | 日文 | 日本 | JP
es-SV | es | SV |  | 西班牙文 (薩爾瓦多) | 西班牙文 | 薩爾瓦多 | 
pt-BR | pt | BR |  | 葡萄牙文 (巴西) | 葡萄牙文 | 巴西 | 
be | be |  |  | 白俄羅斯文 | 白俄羅斯文 |  | 
is-IS | is | IS |  | 冰島文 (冰島) | 冰島文 | 冰島 | 
cs-CZ | cs | CZ |  | 捷克文 (捷克共和國) | 捷克文 | 捷克共和國 | 
es | es |  |  | 西班牙文 | 西班牙文 |  | 
pl-PL | pl | PL |  | 波蘭文 (波蘭) | 波蘭文 | 波蘭 | 
tr | tr |  |  | 土耳其文 | 土耳其文 |  | 
ca-ES | ca | ES |  | 嘉泰羅尼亞文 (西班牙) | 嘉泰羅尼亞文 | 西班牙 | 
sr-CS | sr | CS |  | 塞爾維亞文 (塞爾維亞及蒙特尼哥羅) | 塞爾維亞文 | 塞爾維亞及蒙特尼哥羅 | 
ms-MY | ms | MY |  | 馬來文 (馬來西亞) | 馬來文 | 馬來西亞 | 
hr | hr |  |  | 克羅埃西亞文 | 克羅埃西亞文 |  | 
lt | lt |  |  | 立陶宛文 | 立陶宛文 |  | 
es-ES | es | ES |  | 西班牙文 (西班牙) | 西班牙文 | 西班牙 | 
es-CO | es | CO |  | 西班牙文 (哥倫比亞) | 西班牙文 | 哥倫比亞 | 
bg-BG | bg | BG |  | 保加利亞文 (保加利亞) | 保加利亞文 | 保加利亞 | 
sq | sq |  |  | 阿爾巴尼亞文 | 阿爾巴尼亞文 |  | 
fr | fr |  |  | 法文 | 法文 |  | 
ja | ja |  |  | 日文 | 日文 |  | 
sr-BA | sr | BA |  | 塞爾維亞文 (波士尼亞赫塞哥維納) | 塞爾維亞文 | 波士尼亞赫塞哥維納 | 
is | is |  |  | 冰島文 | 冰島文 |  | 
es-PY | es | PY |  | 西班牙文 (巴拉圭) | 西班牙文 | 巴拉圭 | 
de | de |  |  | 德文 | 德文 |  | 
es-EC | es | EC |  | 西班牙文 (厄瓜多爾) | 西班牙文 | 厄瓜多爾 | 
es-US | es | US |  | 西班牙文 (美國) | 西班牙文 | 美國 | 
ar-SD | ar | SD |  | 阿拉伯文 (蘇丹) | 阿拉伯文 | 蘇丹 | 
en | en |  |  | 英文 | 英文 |  | 
ro-RO | ro | RO |  | 羅馬尼亞文 (羅馬尼亞) | 羅馬尼亞文 | 羅馬尼亞 | 
en-PH | en | PH |  | 英文 (菲律賓) | 英文 | 菲律賓 | 
ca | ca |  |  | 嘉泰羅尼亞文 | 嘉泰羅尼亞文 |  | 
ar-TN | ar | TN |  | 阿拉伯文 (突尼西亞) | 阿拉伯文 | 突尼西亞 | 
sr-Latn-ME | sr | ME |  | 塞爾維亞文 (拉丁文,蒙特尼格羅) | 塞爾維亞文 | 蒙特尼格羅 | 
es-GT | es | GT |  | 西班牙文 (瓜地馬拉) | 西班牙文 | 瓜地馬拉 | 
sl | sl |  |  | 斯拉維尼亞文 | 斯拉維尼亞文 |  | 
ko-KR | ko | KR |  | 韓文 (南韓) | 韓文 | 南韓 | 
el-CY | el | CY |  | 希臘文 (賽普勒斯) | 希臘文 | 賽普勒斯 | 
es-MX | es | MX |  | 西班牙文 (墨西哥) | 西班牙文 | 墨西哥 | 
ru-RU | ru | RU |  | 俄文 (俄羅斯聯邦) | 俄文 | 俄羅斯聯邦 | 
es-HN | es | HN |  | 西班牙文 (宏都拉斯) | 西班牙文 | 宏都拉斯 | 
zh-HK | zh | HK |  | 中文 (香港) | 中文 | 香港 | 
nn-NO | no | NO | NY | 挪威文 (挪威,Nynorsk) | 挪威文 | 挪威 | Nynorsk
hu-HU | hu | HU |  | 匈牙利文 (匈牙利) | 匈牙利文 | 匈牙利 | 
th-TH | th | TH |  | 泰文 (泰國) | 泰文 | 泰國 | 
ar-IQ | ar | IQ |  | 阿拉伯文 (伊拉克) | 阿拉伯文 | 伊拉克 | 
es-CL | es | CL |  | 西班牙文 (智利) | 西班牙文 | 智利 | 
fi | fi |  |  | 芬蘭文 | 芬蘭文 |  | 
ar-MA | ar | MA |  | 阿拉伯文 (摩洛哥) | 阿拉伯文 | 摩洛哥 | 
ga-IE | ga | IE |  | 愛爾蘭文 (愛爾蘭) | 愛爾蘭文 | 愛爾蘭 | 
mk | mk |  |  | 馬其頓文 | 馬其頓文 |  | 
tr-TR | tr | TR |  | 土耳其文 (土耳其) | 土耳其文 | 土耳其 | 
et-EE | et | EE |  | 愛沙尼亞文 (愛沙尼亞) | 愛沙尼亞文 | 愛沙尼亞 | 
ar-QA | ar | QA |  | 阿拉伯文 (卡達) | 阿拉伯文 | 卡達 | 
sr-Latn | sr |  |  | 塞爾維亞文 (拉丁文) | 塞爾維亞文 |  | 
pt-PT | pt | PT |  | 葡萄牙文 (葡萄牙) | 葡萄牙文 | 葡萄牙 | 
fr-LU | fr | LU |  | 法文 (盧森堡) | 法文 | 盧森堡 | 
ar-OM | ar | OM |  | 阿拉伯文 (阿曼) | 阿拉伯文 | 阿曼 | 
th | th |  |  | 泰文 | 泰文 |  | 
sq-AL | sq | AL |  | 阿爾巴尼亞文 (阿爾巴尼亞) | 阿爾巴尼亞文 | 阿爾巴尼亞 | 
es-DO | es | DO |  | 西班牙文 (多明尼加) | 西班牙文 | 多明尼加 | 
es-CU | es | CU |  | 西班牙文 (古巴) | 西班牙文 | 古巴 | 
ar | ar |  |  | 阿拉伯文 | 阿拉伯文 |  | 
ru | ru |  |  | 俄文 | 俄文 |  | 
en-NZ | en | NZ |  | 英文 (紐西蘭) | 英文 | 紐西蘭 | 
sr-RS | sr | RS |  | 塞爾維亞文 (塞爾維亞) | 塞爾維亞文 | 塞爾維亞 | 
de-CH | de | CH |  | 德文 (瑞士) | 德文 | 瑞士 | 
